filename,layers,seed,accuracy,patchability,sparsity,category,efficiency,connections,path,directory,score
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,3,6,0.4,0.589,0.01,BEST_ACCURACY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_GLOBAL.pt,3,6,0.4,0.589,0.01,BEST_ACCURACY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_GLOBAL.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,3,6,0.4,0.589,0.01,BEST_PATCHABILITY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,3,6,0.4,0.589,0.01,BEST_EFFICIENCY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_GLOBAL.pt,3,7,0.4,0.582,0.01,BEST_ACCURACY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,3,7,0.4,0.582,0.01,BEST_PATCHABILITY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,3,7,0.4,0.582,0.01,BEST_ACCURACY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,3,7,0.4,0.582,0.01,BEST_EFFICIENCY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,3,7,0.4,0.582,0.01,BEST_PATCHABILITY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,3,7,0.4,0.582,0.01,BEST_EFFICIENCY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.798425456947809
